id,ambient_humidity,baking_duration,cooling_period,cream_fat_content,egg_temperature,egg_yolk_count,final_temperature,lemon_zest_ph,origin,oven_temperature,preheating_time,salt_ratio,sugar_content,vanilla_extract,quality_class_binary
1,54.0,24.0,26.0,100.4,52.0,11,309.0,3.2,Lisboa,,207.0,42.74,22.8,5.7,0
2,66.0,37.0,34.0,98.0,46.0,10,317.0,3.3,Lisboa,306.0,245.0,41.73,11.6,4.0,0
3,41.0,30.0,19.0,99.3,53.0,10,130.0,3.4,Porto,121.0,186.0,75.1,20.3,7.5,1
4,62.0,24.0,48.0,98.0,115.0,9,354.0,3.3,Lisboa,357.0,186.0,46.41,73.3,4.2,1
5,55.0,21.0,34.0,100.1,48.0,9,211.0,3.0,Lisboa,202.0,218.0,56.52,80.1,6.0,0
6,41.0,24.0,45.0,95.5,129.0,9,380.0,3.1,Lisboa,375.0,188.0,41.83,73.1,4.4,1
7,76.0,37.0,18.0,99.6,33.0,9,110.0,3.5,Porto,91.0,210.0,70.27,20.6,7.6,1
8,59.0,27.0,30.0,98.9,68.0,13,234.0,3.1,Lisboa,217.0,212.0,29.12,13.9,5.2,1
9,45.0,18.0,50.0,100.2,54.0,9,228.0,3.4,Lisboa,231.0,221.0,50.19,58.7,3.4,1
10,42.0,42.0,1.0,98.8,37.0,11,110.0,3.4,Porto,109.0,206.0,78.87,23.7,5.3,1
11,73.0,23.0,27.0,98.8,84.0,9,,3.1,Lisboa,226.0,223.0,58.94,25.8,3.5,0
12,58.0,23.0,33.0,97.2,85.0,9,311.0,3.0,Lisboa,313.0,213.0,49.87,153.9,4.2,1
13,48.0,19.0,42.0,97.9,22.0,12,236.0,3.0,Lisboa,224.0,228.0,41.89,14.7,7.2,1
14,66.0,29.0,17.0,95.6,126.0,9,,3.1,Lisboa,326.0,199.0,34.69,131.4,5.0,0
15,53.0,17.0,42.0,100.4,170.0,11,340.0,3.2,Lisboa,320.0,211.0,45.5,131.9,8.1,1
16,67.0,21.0,34.0,96.3,123.0,11,223.0,3.2,Lisboa,221.0,196.0,22.58,14.1,7.2,1
17,67.0,21.0,29.0,96.1,97.0,11,226.0,3.0,Lisboa,207.0,205.0,27.57,52.9,4.5,1
18,63.0,14.0,53.0,97.8,46.0,10,273.0,3.4,Lisboa,272.0,211.0,48.53,12.5,4.3,1
19,64.0,25.0,26.0,101.7,54.0,12,192.0,2.9,Lisboa,201.0,199.0,28.76,118.0,3.9,1
20,44.0,29.0,31.0,97.6,62.0,9,136.0,3.5,Porto,149.0,220.0,77.85,16.7,6.1,1
21,70.0,23.0,32.0,97.4,64.0,11,245.0,3.3,Lisboa,251.0,212.0,49.67,15.6,4.3,0
22,55.0,18.0,34.0,100.1,72.0,9,230.0,3.4,Lisboa,226.0,203.0,56.06,46.0,3.8,1
23,43.0,17.0,29.0,100.2,38.0,10,208.0,3.3,Lisboa,208.0,198.0,29.09,44.2,4.5,1
24,63.0,31.0,69.0,98.3,34.0,12,82.0,3.3,Porto,93.0,316.0,116.5,28.7,7.5,1
25,59.0,35.0,29.0,97.6,20.0,11,61.0,3.3,Porto,70.0,218.0,85.07,22.5,6.2,1
26,76.0,20.0,37.0,96.5,111.0,9,308.0,3.4,Lisboa,301.0,255.0,52.55,116.8,7.9,1
27,65.0,36.0,25.0,96.8,48.0,10,147.0,3.3,Porto,139.0,256.0,79.03,20.4,4.7,0
28,47.0,18.0,28.0,93.2,68.0,9,271.0,3.0,Lisboa,272.0,213.0,48.94,147.1,4.0,1
