id,quality_class_binary
681,1
3771,1
5156,0
668,1
2695,0
3266,1
2066,1
1063,1
4240,0
1052,0
2319,1
733,1
4207,0
3873,1
721,1
265,0
2691,0
913,0
4330,0
2379,1
1831,1
2521,0
3402,1
1011,1
2246,1
3061,1
1878,1
1198,0
3482,0
2692,0
1351,1
685,1
1448,0
2576,1
2711,1
4569,0
167,0
4642,1
3890,0
1755,1
2841,1
1030,1
3264,1
4385,0
2196,0
3717,0
5134,1
142,1
4839,1
306,0
4775,0
2384,0
141,1
3354,1
3568,0
3044,1
3774,1
205,0
2456,1
68,1
2281,1
2901,1
2626,0
1299,1
301,1
4836,1
2261,1
3072,1
4953,1
1289,1
3622,0
2039,0
3756,0
969,0
4336,0
2202,1
2121,1
4356,1
102,1
4794,0
4824,1
4960,1
4505,1
3604,1
559,1
4391,0
1904,0
322,1
1870,1
4945,1
4943,1
1682,1
2503,1
3632,1
3939,1
2886,1
137,1
3530,1
1174,0
4313,1
4442,1
3079,0
2100,0
3309,1
4151,0
2838,0
720,1
4108,0
4305,0
4214,0
2562,0
4711,1
4345,1
4400,1
3407,1
4072,1
29,0
1304,0
2458,0
1847,0
4479,1
1846,1
1684,1
2284,0
1240,1
4024,1
3868,0
569,1
3609,1
2722,1
3204,0
3058,1
1362,0
158,0
3101,0
4921,1
4271,0
2902,1
3075,1
3171,1
1337,1
3962,1
343,1
4158,1
1771,1
4656,1
757,0
4789,1
513,0
3770,0
2342,1
3014,0
3000,1
430,0
4780,1
1121,1
4075,0
269,1
3438,1
3448,1
3015,1
1948,0
3853,1
2686,1
2287,0
3190,0
4163,1
3458,1
5051,1
2143,0
2271,1
1490,1
3329,1
4289,0
2871,0
5000,0
2601,1
2694,0
4314,1
154,1
2741,0
1597,1
3118,0
4168,1
1795,1
3684,1
5097,1
4640,1
5018,0
4472,0
696,1
5158,1
249,1
1433,1
3476,0
2207,0
3467,0
4181,0
2082,1
4099,0
3561,1
861,1
3004,1
4089,1
2190,0
2376,1
79,1
4216,1
3737,0
3672,1
2987,0
3352,1
4493,0
800,1
503,0
4706,0
2597,1
4525,1
3659,1
419,1
2093,0
1627,0
1890,0
1124,1
4277,0
3344,1
4294,1
147,0
4147,0
2212,0
1907,0
491,1
1901,0
1683,0
194,1
2549,1
3149,0
1109,1
3174,1
4519,1
4502,0
7,1
1233,0
2934,0
1515,0
4021,1
3838,1
3210,1
3718,1
1589,0
2819,1
1822,1
2559,0
2236,0
4516,0
299,1
2145,1
3572,1
4838,0
1499,0
90,1
2543,1
2459,1
5141,0
4782,1
324,1
2118,1
4321,0
703,1
3829,0
1646,1
1018,1
4004,0
795,0
4531,1
1561,1
4180,1
129,0
2037,1
837,1
1949,1
2054,0
3025,0
1257,0
2633,0
4010,1
3036,1
63,1
3835,1
1483,1
974,1
3576,1
4386,0
2223,0
3207,1
1204,1
2152,1
3861,1
2831,1
2029,1
2787,1
1171,0
821,0
124,0
647,1
4036,1
2535,1
1689,0
2471,0
4395,1
3071,0
3690,0
4754,1
824,1
3043,0
3333,1
2049,1
3521,1
3493,1
2238,0
4603,1
173,1
3634,0
1894,0
4710,1
2507,0
4904,1
1947,1
4994,1
4041,1
3040,1
4224,0
3142,0
4577,0
302,0
4622,1
926,1
2146,1
34,0
2381,0
150,1
1893,1
2018,1
1985,0
4379,1
4760,0
4371,1
2957,1
2150,1
3900,1
435,1
1718,1
585,1
66,1
3439,0
3671,0
3837,1
3080,0
4614,0
373,0
560,1
2631,1
2547,0
1811,0
2820,1
1690,1
4602,1
4817,1
2213,0
2258,1
4406,0
3535,0
4608,0
3986,1
2496,1
4790,1
3555,1
3455,0
3033,1
162,1
3194,1
3892,1
2634,0
1664,1
135,0
472,0
4452,1
1791,1
4985,1
2763,1
2636,0
4133,1
2750,0
4560,1
3808,0
1849,0
1776,1
1026,1
1593,1
2367,0
2169,1
1838,1
3818,1
4043,1
468,0
4878,1
105,0
1101,1
4719,1
5149,0
4936,0
3941,1
5188,1
144,1
995,0
3376,0
3992,0
2878,1
1787,0
2618,0
1192,1
3278,1
574,1
3140,1
1117,1
925,0
4438,0
2313,1
2474,1
2615,0
5180,0
2619,0
2450,1
5195,1
2724,1
4440,0
3577,0
4909,1
1095,0
3474,1
2125,1
1465,1
3050,0
3798,1
2248,1
643,1
888,1
4084,1
3150,0
3836,1
3109,0
2180,1
246,0
2937,1
4360,0
3616,0
4604,0
4267,1
1774,0
2672,1
975,0
3848,0
3346,1
4131,1
2684,1
2354,1
1995,1
2429,1
5087,1
1931,0
5151,1
3583,1
3566,0
1935,1
3162,0
1021,1
2742,1
1745,0
1834,1
4466,1
4670,1
1807,0
2103,1
738,1
4881,1
110,1
5144,0
127,1
4201,1
1592,0
4750,0
4671,1
1036,0
3443,0
2179,1
4550,0
4462,1
1857,1
2650,0
4885,0
3169,1
3423,1
4996,1
1560,0
2032,1
3255,0
3978,0
993,1
4533,0
2446,1
2304,1
227,1
293,0
1318,1
656,0
2490,0
4498,1
4352,0
3495,0
353,1
1480,1
1077,1
3276,1
631,1
463,0
2993,1
2805,0
3465,0
2059,0
3462,1
3667,0
225,0
3817,1
4832,1
2307,1
1551,1
1336,1
5171,0
2804,1
2051,0
1219,1
1047,1
1662,0
4538,1
4743,0
1602,1
4643,0
1177,1
2130,0
1919,0
2181,0
4993,1
2606,0
309,0
3554,1
4160,1
2046,1
2897,1
1621,1
5157,0
5012,1
818,0
2789,1
245,1
3512,1
1428,0
3366,1
2855,0
3661,0
1828,1
2954,0
3259,1
1746,1
4415,1
1770,1
2328,1
4413,1
4473,1
2291,1
323,1
4764,0
580,1
5006,1
3790,1
4712,1
1729,1
2267,0
3256,1
1764,1
5032,1
4298,0
1281,0
313,1
2108,0
3444,1
4334,1
1549,0
5062,0
1578,1
5008,1
1693,1
792,1
3203,1
2366,1
3241,1
3272,1
2325,0
4220,0
1886,1
1420,0
3012,1
3529,0
1503,0
1132,1
3475,1
1002,0
1239,1
2657,1
1556,1
232,0
3731,0
2759,0
2739,1
4585,1
5042,0
4087,0
256,1
3851,1
1368,1
4312,1
1721,1
315,1
4523,1
1181,1
2405,1
3675,1
4470,1
911,0
5163,1
1244,1
3065,0
1571,1
4880,0
3372,1
705,1
1707,0
3037,1
3451,1
1991,1
4733,0
3193,0
288,0
3910,0
4429,1
4013,1
3238,1
2638,0
840,1
4499,1
3874,1
900,0
2858,1
3842,1
316,1
1585,0
2350,1
5196,1
4734,1
2604,0
2853,0
2528,1
2594,1
4114,0
2435,0
2341,1
3664,0
4255,1
3683,1
2460,1
2062,0
3078,1
3299,1
909,1
3133,1
5174,0
2499,1
4433,0
3945,0
1632,1
5043,1
1379,1
980,1
